,Listing Type,Address,Prices,Lat,Lon,Zip,Sq Ft,Beds,Baths,Price per Square Foot
4283,For Sale,"7669 Kendall St in Highlands, Arvada, 80003",359900.0,39.835079,-105.066791,80003.0,1728.0,2.0,1,208.27546296296296
4284,For Sale,"6703 Sheridan Blvd Unit E in Lamar Heights, Arvada, 80003",395000.0,39.818739,-105.054061,80003.0,1928.0,3.0,3,204.87551867219918
4285,For Sale,"7170 W 80th Pl in Lake Arbor, Arvada, 80003",469900.0,39.842236,-105.079136,80003.0,2772.0,5.0,4,169.51659451659452
4286,For Sale,"5905 W 60th Ave in Lamar Heights, Arvada, 80003",725000.0,39.806324,-105.061745,80003.0,3627.0,5.0,3,199.8897160187483
4287,For Sale,"5515 W 63rd Ave in Lamar Heights, Arvada, 80003",429000.0,39.811164,-105.056857,80003.0,2142.0,4.0,2,200.28011204481794
4288,For Sale,"6574 Gray St in Lamar Heights, Arvada, 80003",429900.0,39.815767,-105.06103,80003.0,2320.0,4.0,3,185.30172413793105
4289,For Sale,"7757 Harlan St in Southeast Westminster, Arvada, 80003",388900.0,39.837386,-105.062531,80003.0,1567.0,3.0,2,248.18123803446076
4290,For Sale,"7590 Wadsworth Blvd in Highlands, Arvada, 80003",850000.0,39.834229,-105.080791,80003.0,2353.0,3.0,2,361.2409689757756
4294,For Sale,"6300 Deframe Way in Quail Cove, Arvada, 80004",369500.0,39.810437,-105.151108,80004.0,1951.0,2.0,2,189.3900563813429
4295,For Sale,"6350 Oak St Apt 103 in Grace Place North, Arvada, 80004",237000.0,39.811488,-105.118633,80004.0,893.0,2.0,2,265.39753639417694
4296,For Sale,"11744 W 71st Pl in Woodland Valley, Arvada, 80004",434900.0,39.824873,-105.131442,80004.0,1296.0,3.0,2,335.570987654321
4297,For Sale,"6164 Allison St in Arvada Park View, Arvada, 80004",475000.0,39.807968,-105.086301,80004.0,2000.0,4.0,2,237.5
4298,For Sale,"13215 W 63rd Pl, Arvada, 80004",415000.0,39.812417,-105.146544,80004.0,1968.0,3.0,2,210.8739837398374
4299,For Sale,"10160 W 64th Ave in Arvada West, Arvada, 80004",515000.0,39.812903,-105.111598,80004.0,2292.0,4.0,3,224.69458987783594
4300,For Sale,"11680 W 66th Pl Apt D in Park Meadows Condominiums, Arvada, 80004",400000.0,39.816487,-105.12933,80004.0,2725.0,3.0,3,146.78899082568807
4301,For Sale,"6996 Robb St in Northwest Arvada, Arvada, 80004",410000.0,39.824187,-105.124958,80004.0,2296.0,3.0,2,178.57142857142858
4302,For Sale,"6518 Estes St in Dover Downs, Arvada, 80004",550000.0,39.815519,-105.095267,80004.0,2349.0,3.0,3,234.14218816517666
4303,For Sale,"6310 Oak St Apt 201 in Allendale Area, Arvada, 80004",264900.0,39.81114,-105.118785,80004.0,935.0,2.0,2,283.3155080213904
4304,For Sale,"6175 Brentwood St in Twilight Village, Arvada, 80004",400000.0,39.808443,-105.089969,80004.0,2200.0,4.0,2,181.8181818181818
4305,For Sale,"6968 Hoyt Ct in Scenic Heights, Arvada, 80004",570000.0,39.823245,-105.103724,80004.0,3630.0,5.0,4,157.02479338842974
4306,For Sale,"10784 W 63rd Pl Apt 307 in Allendale Area, Arvada, 80004",250000.0,39.811507,-105.118076,80004.0,1079.0,2.0,2,231.69601482854495
4307,For Sale,"11640 W 62nd Pl Unit 202 in Ralston Station Condominiums, Arvada, 80004",284999.0,39.811502,-105.129988,80004.0,1053.0,2.0,1,270.65432098765433
4308,For Sale,"6785 Xenon Dr in Northwest Arvada, Arvada, 80004",476000.0,39.817986,-105.143849,80004.0,2464.0,5.0,3,193.1818181818182
4309,For Sale,"6320 Deframe Way in Quail Cove, Arvada, 80004",450000.0,39.810384,-105.152219,80004.0,2273.0,3.0,3,197.9762428508579
4310,For Sale,"6086 Queen St in Allendale Area, Arvada, 80004",468500.0,39.807719,-105.125252,80004.0,2480.0,4.0,2,188.91129032258064
4311,For Sale,"6758 Vivian St in Northwest Arvada, Arvada, 80004",525000.0,39.820096,-105.136863,80004.0,3109.0,5.0,3,168.86458668382116
4312,For Sale,"10271 W 59th Ave in Allendale Area, Arvada, 80004",825000.0,39.804342,-105.112156,80004.0,4058.0,0.0,0,203.30211927057664
4313,For Sale,"6011 Yarrow St Apt E in Olde Town Arvada Area, Arvada, 80004",285000.0,39.806339,-105.083854,80004.0,1524.0,3.0,2,187.00787401574803
4314,For Sale,"6966 Dudley Dr in Scenic Heights, Arvada, 80004",619900.0,39.82302,-105.095503,80004.0,3147.0,4.0,4,196.98125198601844
4315,For Sale,"11457 W 59th Ave in Allendale Area, Arvada, 80004",475000.0,39.804725,-105.125884,80004.0,2506.0,4.0,4,189.54509177972866
4316,For Sale,"7075 Eldridge Ct in Shadow Mountain, Arvada, 80004",537500.0,39.824542,-105.157735,80004.0,2738.0,4.0,4,196.31117604090576
4317,For Sale,"6095 Cody St in Alta Vista Area, Arvada, 80004",425000.0,39.807098,-105.092054,80004.0,1424.0,4.0,2,298.4550561797753
4318,For Sale,"5992 Holland St in Alta Vista Area, Arvada, 80004",515000.0,39.805506,-105.101817,80004.0,2368.0,5.0,2,217.4831081081081
4319,For Sale,"6925 Gladiola St in Maple Valley, Arvada, 80004",540000.0,39.82267,-105.162786,80004.0,3021.0,3.0,3,178.74875868917576
4320,For Sale,"6157 Estes Ct in Alta Vista Area, Arvada, 80004",499500.0,39.808969,-105.096743,80004.0,2304.0,5.0,3,216.796875
4321,For Sale,"6875 Oak Way in Northwest Arvada, Arvada, 80004",470000.0,39.821222,-105.120734,80004.0,2562.0,4.0,2,183.4504293520687
4322,For Sale,"6877 Brentwood Ct in Scenic Heights, Arvada, 80004",725000.0,39.821292,-105.089876,80004.0,3841.0,3.0,3,188.75292892475917
4323,For Sale,"6888 Brentwood Ct in Scenic Heights, Arvada, 80004",839000.0,39.821647,-105.089354,80004.0,4193.0,4.0,5,200.09539709038873
4324,For Sale,"11176 W 64th Pl in Northwest Arvada, Arvada, 80004",415000.0,39.814334,-105.123136,80004.0,1462.0,2.0,2,283.8577291381669
4325,For Sale,"6901 Oak St in Northwest Arvada, Arvada, 80004",499000.0,39.822078,-105.119317,80004.0,2957.0,5.0,3,168.7521136286777
4326,For Sale,"9942 W 66th Pl in Scenic Heights, Arvada, 80004",515000.0,39.817435,-105.10936,80004.0,2604.0,5.0,3,197.7726574500768
4327,For Sale,"6835 Tabor Ct in Northwest Arvada, Arvada, 80004",539000.0,39.821516,-105.131204,80004.0,2659.0,4.0,4,202.70778488153442
4328,For Sale,"8653 W 67th Ave in Scenic Heights, Arvada, 80004",450000.0,39.818541,-105.093225,80004.0,1813.0,4.0,2,248.2073910645339
4329,For Sale,"6213 Johnson Way in Alta Vista Area, Arvada, 80004",525000.0,39.810223,-105.110964,80004.0,2582.0,5.0,3,203.33075135553835
4330,For Sale,"6635 Union St in Northwest Arvada, Arvada, 80004",525000.0,39.817002,-105.133492,80004.0,2794.0,5.0,3,187.9026485325698
4331,For Sale,"6756 Lee St in Alta Vista Area, Arvada, 80004",440000.0,39.819023,-105.111672,80004.0,2292.0,4.0,3,191.97207678883072
4332,For Sale,"11934 W 65th Pl in Northwest Arvada, Arvada, 80004",415000.0,39.815055,-105.132381,80004.0,1872.0,4.0,2,221.68803418803418
4333,For Sale,"13040 W 63rd Pl Unit C in Meadowlake West, Arvada, 80004",310000.0,39.812004,-105.144215,80004.0,1311.0,3.0,2,236.4607170099161
4334,For Sale,"6522 Iris St in Scenic Heights, Arvada, 80004",396000.0,39.815405,-105.1063,80004.0,1764.0,4.0,2,224.48979591836735
